SKU,TITULO,MARCA,CATEGORIA,PRECIO_MAYORISTA,PRECIO_PVP_SUGERIDO,MARGEN_GANANCIA,COLOR,IMAGEN,WHATSAPP_LINK
14417001,"Zapatilla Urbana Retro Gamuzada","XTI","Calzado Urbano","$ 38.500","$ 77.000","+100%","Beige / Verde / Suela Caramelo","catalog-marroquineria/14417001.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014417001"
14417006,"Zapatilla Urbana Retro Gamuzada V2","XTI","Calzado Urbano","$ 38.500","$ 77.000","+100%","Marfil / Arena / Suela Caramelo","catalog-marroquineria/14417006.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014417006"
14426401,"Zapatilla Confort Classic","XTI","Calzado Urbano","$ 36.900","$ 73.800","+100%","Blanco / Gris Neutro","catalog-marroquineria/14426401.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014426401"
14615603,"Zapatilla Sporty Chic Mesh","XTI","Zapatilla Moda","$ 42.000","$ 84.000","+100%","Tostado / Cobre / Malla Transpirable","catalog-marroquineria/14615603.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014615603"
14615701,"Zapatilla Confort Running Chic","XTI","Zapatilla Moda","$ 39.500","$ 79.000","+100%","Gris Plata / Blanco","catalog-marroquineria/14615701.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014615701"
14615703,"Zapatilla Confort Running Chic V2","XTI","Zapatilla Moda","$ 39.500","$ 79.000","+100%","Camel / Dorado Suave","catalog-marroquineria/14615703.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014615703"
14621802,"Zapatilla Urbana Plataforma","REFRESH","Calzado Urbano","$ 35.800","$ 71.600","+100%","Blanco / Pasteles","catalog-marroquineria/14621802.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014621802"
14621803,"Zapatilla Urbana Plataforma V2","REFRESH","Calzado Urbano","$ 35.800","$ 71.600","+100%","Beige / Nude","catalog-marroquineria/14621803.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014621803"
14629201,"Sneaker Casual Street","REFRESH","Calzado Urbano","$ 34.000","$ 68.000","+100%","Negro / Suela Blanca","catalog-marroquineria/14629201.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014629201"
14629202,"Sneaker Casual Street V2","REFRESH","Calzado Urbano","$ 34.000","$ 68.000","+100%","Blanco Total","catalog-marroquineria/14629202.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014629202"
14637602,"Sandalia Confort Anatómica","REFRESH","Sandalias","$ 29.900","$ 59.800","+100%","Cuero Suela / Hebilla Plata","catalog-marroquineria/14637602.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014637602"
14640001,"Sandalia Tira Fina Minimalista","XTI","Fiesta / Vestir","$ 32.500","$ 65.000","+100%","Dorado Metalizado","catalog-marroquineria/14640001.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014640001"
14640002,"Sandalia Tira Fina Minimalista V2","XTI","Fiesta / Vestir","$ 32.500","$ 65.000","+100%","Plata Metalizado","catalog-marroquineria/14640002.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014640002"
14640003,"Sandalia Tira Fina Minimalista V3","XTI","Fiesta / Vestir","$ 32.500","$ 65.000","+100%","Negro Clásico","catalog-marroquineria/14640003.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014640003"
14641801,"Sandalia Taco Bloque Verano","REFRESH","Sandalias","$ 33.800","$ 67.600","+100%","Nude / Hebilla Dorada","catalog-marroquineria/14641801.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014641801"
14641802,"Sandalia Taco Bloque Verano V2","REFRESH","Sandalias","$ 33.800","$ 67.600","+100%","Negro Charol","catalog-marroquineria/14641802.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014641802"
14644202,"Zapato Taco T-Strap Charol","XTI","Fiesta / Vestir","$ 41.500","$ 83.000","+100%","Negro Charol / Dije Oro","catalog-marroquineria/14644202.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014644202"
17610003,"Bota Corta / Calzado Tendencia","XTI","Temporada","$ 46.000","$ 92.000","+100%","Suela / Camel","catalog-marroquineria/17610003.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2017610003"
17610004,"Bota Corta / Calzado Tendencia V2","XTI","Temporada","$ 46.000","$ 92.000","+100%","Negro Mate","catalog-marroquineria/17610004.jpg","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2017610004"
