Texto,Enlace,Archivo_Creativo,Tipo_Red
"✨ Zapatilla Urbana Retro Gamuzada (XTI) - Mayorista: $ 38.500 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014417001","story_prod_14417001.jpg","Instagram Stories, Facebook Stories"
"✨ Zapatilla Urbana Retro Gamuzada V2 (XTI) - Mayorista: $ 38.500 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014417006","story_prod_14417006.jpg","Instagram Stories, Facebook Stories"
"✨ Zapatilla Confort Classic (XTI) - Mayorista: $ 36.900 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014426401","story_prod_14426401.jpg","Instagram Stories, Facebook Stories"
"✨ Zapatilla Sporty Chic Mesh (XTI) - Mayorista: $ 42.000 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014615603","story_prod_14615603.jpg","Instagram Stories, Facebook Stories"
"🔥 ¡Emprendé con SkyBlue! Mínimo de compra de solo 6 unidades surtidas. Combiná marcas y modelos a tu gusto. Envíos a todo el país.","https://wa.me/5491138916779?text=Hola!%20Quiero%20info%20del%20minimo%20de%206%20unidades","story_promo_minimo_6.jpg","Instagram Stories, Facebook Stories"
"✨ Zapatilla Confort Running Chic (XTI) - Mayorista: $ 39.500 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014615701","story_prod_14615701.jpg","Instagram Stories, Facebook Stories"
"✨ Zapatilla Confort Running Chic V2 (XTI) - Mayorista: $ 39.500 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014615703","story_prod_14615703.jpg","Instagram Stories, Facebook Stories"
"✨ Zapatilla Urbana Plataforma (REFRESH) - Mayorista: $ 35.800 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014621802","story_prod_14621802.jpg","Instagram Stories, Facebook Stories"
"✨ Zapatilla Urbana Plataforma V2 (REFRESH) - Mayorista: $ 35.800 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014621803","story_prod_14621803.jpg","Instagram Stories, Facebook Stories"
"🚚 Despachamos pedidos todos los días a todas las provincias de Argentina por expreso, Vía Cargo y Andreani. ¡Sumate a nuestra red de revendedoras!","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20envios%20a%20mi%20ciudad","story_promo_envios_pais.jpg","Instagram Stories, Facebook Stories"
"✨ Sneaker Casual Street (REFRESH) - Mayorista: $ 34.000 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014629201","story_prod_14629201.jpg","Instagram Stories, Facebook Stories"
"✨ Sneaker Casual Street V2 (REFRESH) - Mayorista: $ 34.000 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014629202","story_prod_14629202.jpg","Instagram Stories, Facebook Stories"
"✨ Sandalia Confort Anatómica (REFRESH) - Mayorista: $ 29.900 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014637602","story_prod_14637602.jpg","Instagram Stories, Facebook Stories"
"✨ Sandalia Tira Fina Minimalista (XTI) - Mayorista: $ 32.500 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014640001","story_prod_14640001.jpg","Instagram Stories, Facebook Stories"
"🎁 ¿Primera vez que comprás en SkyBlue? Aprovechá descuento especial por transferencia o efectivo. Pedí el catálogo mayorista.","https://wa.me/5491138916779?text=Hola!%20Quiero%20mi%20descuento%20de%20primera%20compra","story_promo_descuento_primera_compra.jpg","Instagram Stories, Facebook Stories"
"✨ Sandalia Tira Fina Minimalista V2 (XTI) - Mayorista: $ 32.500 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014640002","story_prod_14640002.jpg","Instagram Stories, Facebook Stories"
"✨ Sandalia Tira Fina Minimalista V3 (XTI) - Mayorista: $ 32.500 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014640003","story_prod_14640003.jpg","Instagram Stories, Facebook Stories"
"✨ Sandalia Taco Bloque Verano (REFRESH) - Mayorista: $ 33.800 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014641801","story_prod_14641801.jpg","Instagram Stories, Facebook Stories"
"✨ Sandalia Taco Bloque Verano V2 (REFRESH) - Mayorista: $ 33.800 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014641802","story_prod_14641802.jpg","Instagram Stories, Facebook Stories"
"📋 Comprar al por mayor nunca fue tan fácil. En solo 3 pasos armás tu pedido y recibís en tu local. Contactanos por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20hacer%20un%20pedido%20mayorista","story_promo_pasos_compra.jpg","Instagram Stories, Facebook Stories"
"✨ Zapato Taco T-Strap Charol (XTI) - Mayorista: $ 41.500 | Margen: +100%. Mínimo 6 unidades surtidas. Pedilo por WhatsApp.","https://wa.me/5491138916779?text=Hola!%20Quiero%20consultar%20por%20SKU%2014644202","story_prod_14644202.jpg","Instagram Stories, Facebook Stories"
